id_Estab,cadena,ciudad,barrio,Pre_Var12Acum,Ind_Var12Acum
182,Ta - Ta,Montevideo,Col�n,56.57980983040722,39.157391942015416
183,Ta - Ta,Montevideo,Sayago,69.9701501132568,39.157391942015416
184,Ta - Ta,Montevideo,Aires Puros,63.17173042054964,39.157391942015416
185,Ta - Ta,Montevideo,Carrasco,60.76966888445903,39.157391942015416
186,Ta - Ta,Montevideo,La Comercial,55.6457623650076,39.157391942015416
187,Ta - Ta,Montevideo,Tres Cruces,61.24788640126062,39.157391942015416
188,Ta - Ta,Montevideo,Buceo,52.84455839756652,39.157391942015416
189,Ta - Ta,Montevideo,Pocitos,62.52790642240604,39.157391942015416
190,Ta - Ta,Florida,Interior,64.18891279554772,39.157391942015416
191,Ta - Ta,La Paz,Interior,67.45307840729693,39.157391942015416
192,Ta - Ta,Montevideo,P�rez Castellanos,63.10583580613249,39.157391942015416
193,Ta - Ta,Montevideo,La Teja,53.00226181500729,39.157391942015416
194,Ta - Ta,Montevideo,Cordón,55.596163281459646,39.157391942015416
195,Ta - Ta,Trinidad,Interior,67.06738938671124,39.157391942015416
196,Ta - Ta,Montevideo,Malvín Norte,62.71528966245492,39.157391942015416
197,Ta - Ta,Montevideo,Unión,56.53889559706733,39.157391942015416
198,Ta - Ta,Montevideo,Piedras Blancas,60.76804996228058,39.157391942015416
199,Ta - Ta,Montevideo,Piedras Blancas,63.17222362467714,39.157391942015416
200,Ta - Ta,Montevideo,Unión,71.7507678806494,39.157391942015416
201,Ta - Ta,Mercedes,Interior,70.07529464049162,39.157391942015416
202,Ta - Ta,Montevideo,Punta de Rieles ,61.90098410486185,39.157391942015416
203,Ta - Ta,Montevideo,Buceo,56.86820693472576,39.157391942015416
204,Ta - Ta,Montevideo,Malvín Norte,67.96473401075912,39.157391942015416
205,Ta - Ta,Salto,Interior,67.29586522285477,39.157391942015416
206,Ta - Ta,Ciudad de la Costa,Interior,75.62853488349629,39.157391942015416
207,Ta - Ta,Tacuaremb�,Interior,67.92057583761158,39.157391942015416
208,Ta - Ta,Montevideo,Cerro,64.52326261574237,39.157391942015416
209,Ta - Ta,Durazno,Interior,65.86001720949814,39.157391942015416
212,Micro Macro,Colonia del Sacramento,Interior,62.95495855080768,50.23335056775189
213,Micro Macro,Colonia del Sacramento,Interior,62.99078424054323,50.23335056775189
214,Micro Macro,Libertad,Interior,67.15716181825238,50.23335056775189
217,Micro Macro,Colonia del Sacramento,Interior,62.21282990646133,50.23335056775189
218,Micro Macro,Montevideo,Centro,49.09754595042235,50.23335056775189
219,Micro Macro,Montevideo,Pocitos,43.51422581294271,50.23335056775189
220,Super Tico,Montevideo,Casavalle,99.4831385569601,50.23335056775189
221,Super Tico,Montevideo,Pe�arol,95.55273776468248,50.23335056775189
222,Super Tico,Montevideo,La Blanqueada,104.82085643053951,50.23335056775189
223,Super Tico,Montevideo,Lavalleja,93.77443522926174,50.23335056775189
